make_name,n,mae,rmse,bias,median_price,rmape
Land Rover,59,3658.1198103819524,5539.888663050825,-1562.9840188189908,59808.0,0.06116438955293527
Mercedes-Benz,154,4024.1844462195477,5116.5255119143085,2705.2236770663226,25695.0,0.156613521938881
Dodge,65,3070.5575133130437,4941.684324262189,1613.922227905212,27580.0,0.11133275972853676
BMW,140,3697.270107654111,4700.988042279099,2390.3895936262847,26245.0,0.1408752184284287
RAM,43,3178.5396470294677,3952.599407613001,2425.3518299504763,48700.0,0.06526775455912665
Audi,44,2900.8338850943514,3920.022650884886,1358.0886309787857,22290.0,0.130140596011411
Cadillac,39,2558.551055834659,3710.879673460744,1744.264490328553,29900.0,0.08557026942590833
Jeep,186,2712.5676003206786,3254.6447300426453,2173.048709560948,27575.5,0.09836875488461419
Ford,97,1614.9209467359574,2258.069800007271,812.9590161185023,14465.0,0.11164334232533407
Mazda,233,1535.5600309340568,2088.110954185081,-1110.5569979455333,29990.0,0.05120240183174581
Hyundai,56,1591.4850536900651,2024.2827887777537,830.8129343834922,14724.5,0.10808414911814086
Volkswagen,36,1350.0421115515946,1873.244610114011,735.9974447173859,13950.0,0.09677721229760534
Chevrolet,215,1420.289841346613,1809.0611814799738,943.0418716561796,23939.0,0.05932953930183437
Nissan,64,1440.4282283544494,1798.047829830565,904.5542773585896,14919.5,0.09654668241928009
Toyota,71,1420.6566272346709,1756.3711391192703,809.4489011976503,8980.0,0.1582022970194511
Kia,207,1142.5620100514654,1592.425292706638,154.29479422793102,20090.0,0.05687217571186986
Honda,81,1253.086937114437,1566.39717183169,1094.7373917933141,10499.0,0.11935298000899486
Subaru,42,1184.4202445477797,1543.3897282548894,1023.3149508404744,9861.5,0.12010548542795516
